Address,PT Float ZRGWMOVR,PT Stable ZRGWMOVR,Total Liability ZRGWMOVR,PT Float WMOVRZRG,PT Stable WMOVRZRG,Total Liability WMOVRZRG,PT Float ZRGETH,PT Stable ZRGETH,Total Liability ZRGETH,PT Float ZRGUSDC,PT Stable ZRGUSDC,Total Liability ZRGUSDC,PT Float ZRGxcKSM,PT Stable ZRGxcKSM,Total Liability ZRGxcKSM,PT Float WMOVRUSDC,PT Stable WMOVRUSDC,Total Liability WMOVRUSDC,PT Float USDCWMOVR,PT Stable USDCWMOVR,Total Liability USDCWMOVR,PT Float ETHWMOVR,PT Stable ETHWMOVR,Total Liability ETHWMOVR,PT Float WMOVRETH,PT Stable WMOVRETH,Total Liability WMOVRETH,PT Float WMOVRxcKSM,PT Stable WMOVRxcKSM,Total Liability WMOVRxcKSM,PT Float xcKSMWMOVR,PT Stable xcKSMWMOVR,Total Liability xcKSMWMOVR,PT Float xcKSMUSDC,PT Stable xcKSMUSDC,Total Liability xcKSMUSDC,PT Float ETHUSDC,PT Stable ETHUSDC,Total Liability ETHUSDC,PT Float LDOUSDC,PT Stable LDOUSDC,Total Liability LDOUSDC,PT Float LDOWMOVR,PT Stable LDOWMOVR,Total Liability LDOWMOVR,PT Float WMOVRLDO,PT Stable WMOVRLDO,Total Liability WMOVRLDO,PT Float MFAMWMOVR,PT Stable MFAMWMOVR,Total Liability MFAMWMOVR,PT Float xcRMRKWMOVR,PT Stable xcRMRKWMOVR,Total Liability xcRMRKWMOVR
0x9578380ECb0bb6E546C89fb595090645f8AbFfa2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226250671537985197,412.7175742237159,0,0,0,0,0,0,0,0,0,21024263562085647,0,303.54438707132067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0e94DD9b9583F4726103b263915E12fe29D2EF81,0,0,0,0,0,0,0,0,0,0,1471598664,1500.2055589857337,0,2977601892930,102.61480477562873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x4e7b1f5d52889144eb73ed4aFF7B2DBaA511C6F3,0,228672359247739223600,1882.8896903645655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xC861Cf149019229A33F3357F2ee7049812f10f88,2158323547054023239724502,0,0,0,0,0,0,0,0,72075695849530208256158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44278652425319518,80.7713758135942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xF01d9114b780154b08B1515d7Fa2808FDb691495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xf4f48A62AdC322a30159cff987F35D3A6b352F3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555495093003928,0,8.020134309539571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xc30Bd79d8a637D301d676480902BDdbfe08582f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xC9F7113042615cE4796f8CBbfA6f42170D908e05,0,0,0,0,0,0,0,0,0,568229676219619076672946,9749976515,9939.509545371126,0,104212248840062,3591.386610595204,0,0,0,0,0,0,0,0,0,0,3213083062622787775,5861.179718807325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xcb0eF5aFD5a3f8703cDcfBe55Bf1407b84f0bC73,0,137838002252971771924,1134.9590052612912,0,0,0,0,1388659256180483168,2522.273652800737,0,0,0,0,46114713047312,1589.215901517804,13552552159624741633,0,101.48864750955545,0,0,0,0,0,0,0,0,0,5400241728019559008,24163686158945,882.5644420971366,0,0,0,0,0,0,0,0,0,0,0,0,833134046031905452955,0,638.1815370800614,0,0,0,0,0,0,0,0,0
